VERBCAP,ADJECTIVE,VERB,VERB2,DIRECTION,ORIENTATION,MOONPHASE,TECHONOLOGY,BUCKETLISTPROPHECY,BUCKETLISTFRONT1,BUCKETLISTMID1,ATTEMPT,OUTCOME,TIME,STORAGE,PAUSE,PLANET,BUCKETLISTPROPHECYNEG
Analys,large,analys,analys,north,alignment,newmoon,network,isadvisedto,failevery,first,login attempt,unfavourablepossible,weeks,MB,Please hold ...,Saturn,is discouraged from
Calculat,slow,calculat,calculat,west,axis,fullmoon,satellite,isencouragedto,succeedatevery,second,sign-inattempt,auspiciouspossible,months,GB,Calibrating ...,Mars,is dissuaded from
Calibrat,circumstancial,calibrat,calibrat,south,vibrations,firstquarter,system,isencouragedto,,third,authentication attempt,favourable,days,TB,Standby ...,Venus,
Comput,peculiar,comput,comput,east,waves,thirdquarter,mainframe,isrecommendedto,,fourth,,dire,hours,,Remain calm ...,Mercury,
Configur,unusual,configur,configur,,force,waxingcrescent,cloud,,,fifth,,inauspicious,,,,Jupiter,
Correct,helpful,correct,correct,,spiritual,waningcrescent,data,,,,,unpropitious,,,,Uranus,
Authenticat,horrible,authenticat,authenticat,,guidance,waxinggibbous,harddrive,,,,,ill-omened,,,,Neptune,
Estimat,unfavourable,estimat,estimat,,chakras,waninggibbous,,,,,,propitious,,,,Moon,
Debugg,contravening,debugg,debugg,,attunements,,,,,,,fortuitous,,,,,
Decipher,,decipher,decipher,,,,,,,,,,,,,,
Enabl,,enabl,enabl,,,,,,,,,,,,,,
Evaluat,,evaluat,evaluat,,,,,,,,,,,,,,
Extrapolat,,extrapolat,extrapolat,,,,,,,,,,,,,,
Functionaliz,,functionaliz,functionaliz,,,,,,,,,,,,,,
Indentifi,,indentifi,indentifi,,,,,,,,,,,,,,
Implement,,implement,implement,,,,,,,,,,,,,,
Initializ,,initializ,initializ,,,,,,,,,,,,,,
Isolat,,isolat,isolat,,,,,,,,,,,,,,
Mapp,,mapp,mapp,,,,,,,,,,,,,,
Network,,network,network,,,,,,,,,,,,,,
Optimiz,,optimiz,optimiz,,,,,,,,,,,,,,
Prioritiz,,prioritiz,prioritiz,,,,,,,,,,,,,,
Process,,process,process,,,,,,,,,,,,,,
Programm,,programm,programm,,,,,,,,,,,,,,
Realign,,realign,realign,,,,,,,,,,,,,,
Recover,,recover,recover,,,,,,,,,,,,,,
Replicat,,replicat,replicat,,,,,,,,,,,,,,
Restor,,restor,restor,,,,,,,,,,,,,,
Retriev,,retriev,retriev,,,,,,,,,,,,,,
Scann,,scann,scann,,,,,,,,,,,,,,
Secur,,secur,secur,,,,,,,,,,,,,,
Sequenc,,sequenc,sequenc,,,,,,,,,,,,,,
Stabiliz,,stabiliz,stabiliz,,,,,,,,,,,,,,
Verifi,,verifi,verifi,,,,,,,,,,,,,,
Select,,select,select,,,,,,,,,,,,,,
Systematiz,,systematiz,systematiz,,,,,,,,,,,,,,
